Order_ID,Customer_ID,Order_Date,Product,Category,Revenue
100069,C000089,2025-01-27,Diabetes Care,Ayurvedic,2148
100070,C000092,2025-01-27,Liver Syrup,Unani,1820
100071,C000094,2025-01-04,Joint Care Oil,Unani,2213
100072,C000094,2025-01-17,Ashwagandha,Ayurvedic,1592
100073,C000096,2025-01-21,Joint Care Oil,Unani,1055
100074,C000097,2025-01-11,Immunity Booster,Ayurvedic,1128
100075,C000098,2025-01-25,Immunity Booster,Ayurvedic,2310
100076,C000099,2025-01-21,Ashwagandha,Ayurvedic,1253
100077,C000100,2025-01-21,Liver Syrup,Unani,2237
100078,C000102,2025-01-16,Immunity Booster,Ayurvedic,497
100079,C000104,2025-01-22,Diabetes Care,Ayurvedic,586
100080,C000105,2025-01-14,Liver Syrup,Unani,1851
100081,C000106,2025-01-27,Ashwagandha,Ayurvedic,1097
100082,C000106,2025-01-05,Joint Care Oil,Unani,584
100083,C000108,2025-01-18,Liver Syrup,Unani,1422
100084,C000109,2025-01-23,Joint Care Oil,Unani,1900
100085,C000110,2025-01-17,Immunity Booster,Ayurvedic,1385
100086,C000111,2025-01-01,Immunity Booster,Ayurvedic,1466
100087,C000114,2025-01-14,Immunity Booster,Ayurvedic,2348
100088,C000114,2025-01-14,Ashwagandha,Ayurvedic,2152
100089,C000115,2025-01-10,Ashwagandha,Ayurvedic,599
100090,C000116,2025-01-17,Diabetes Care,Ayurvedic,1075
100091,C000119,2025-01-17,Joint Care Oil,Unani,2185
100092,C000120,2025-01-06,Ashwagandha,Ayurvedic,2325
100093,C000121,2025-01-21,Ashwagandha,Ayurvedic,641
100094,C000122,2025-01-23,Joint Care Oil,Unani,1184
100095,C000123,2025-01-04,Joint Care Oil,Unani,1447
100096,C000124,2025-01-23,Joint Care Oil,Unani,342
100097,C000125,2025-01-14,Liver Syrup,Unani,1962
100098,C000127,2025-01-18,Ashwagandha,Ayurvedic,456
100099,C000128,2025-01-23,Liver Syrup,Unani,1276
100100,C000128,2025-01-27,Joint Care Oil,Unani,376
100101,C000129,2025-01-04,Joint Care Oil,Unani,2000
100102,C000129,2025-01-26,Joint Care Oil,Unani,507
100103,C000130,2025-01-26,Joint Care Oil,Unani,1145
100104,C000131,2025-01-27,Immunity Booster,Ayurvedic,1927
100105,C000133,2025-01-03,Joint Care Oil,Unani,2226
100106,C000134,2025-01-05,Immunity Booster,Ayurvedic,1412
100107,C000135,2025-01-17,Immunity Booster,Ayurvedic,2085
100108,C000136,2025-01-02,Immunity Booster,Ayurvedic,700
100109,C000137,2025-01-25,Ashwagandha,Ayurvedic,1144
100110,C000138,2025-01-24,Diabetes Care,Ayurvedic,529
100111,C000140,2025-01-21,Diabetes Care,Ayurvedic,2016
100112,C000141,2025-01-11,Liver Syrup,Unani,1845
100113,C000144,2025-01-13,Joint Care Oil,Unani,311
100114,C000145,2025-01-16,Immunity Booster,Ayurvedic,887
100115,C000146,2025-01-22,Immunity Booster,Ayurvedic,2322
100116,C000149,2025-01-17,Joint Care Oil,Unani,1895
100117,C000150,2025-01-28,Liver Syrup,Unani,657
100118,C000151,2025-01-24,Immunity Booster,Ayurvedic,2458
100119,C000152,2025-01-01,Immunity Booster,Ayurvedic,1246
100120,C000153,2025-01-27,Ashwagandha,Ayurvedic,1629
100121,C000153,2025-01-19,Liver Syrup,Unani,2238
100122,C000154,2025-01-15,Diabetes Care,Ayurvedic,403
100123,C000155,2025-01-24,Immunity Booster,Ayurvedic,901
100124,C000156,2025-01-02,Ashwagandha,Ayurvedic,1583
100125,C000158,2025-01-10,Liver Syrup,Unani,2176
100126,C000159,2025-01-12,Liver Syrup,Unani,1622
100127,C000159,2025-01-02,Liver Syrup,Unani,1716
100128,C000160,2025-01-06,Liver Syrup,Unani,1863
100129,C000160,2025-01-08,Ashwagandha,Ayurvedic,2327
100130,C000161,2025-01-13,Diabetes Care,Ayurvedic,1642
100131,C000161,2025-01-26,Ashwagandha,Ayurvedic,1791
100132,C000163,2025-01-20,Joint Care Oil,Unani,888
100133,C000164,2025-01-03,Ashwagandha,Ayurvedic,595
100134,C000165,2025-01-23,Joint Care Oil,Unani,325
100135,C000165,2025-01-16,Ashwagandha,Ayurvedic,361
100136,C000166,2025-01-11,Ashwagandha,Ayurvedic,741
100137,C000167,2025-01-28,Diabetes Care,Ayurvedic,1458
100138,C000169,2025-01-19,Diabetes Care,Ayurvedic,2258
100139,C000170,2025-01-17,Immunity Booster,Ayurvedic,1770
100140,C000172,2025-01-27,Joint Care Oil,Unani,1194
100141,C000173,2025-01-02,Diabetes Care,Ayurvedic,969
100142,C000174,2025-01-26,Immunity Booster,Ayurvedic,2072
100143,C000174,2025-01-04,Joint Care Oil,Unani,1819
100144,C000175,2025-01-24,Joint Care Oil,Unani,1027
100145,C000179,2025-01-01,Liver Syrup,Unani,1161
100146,C000180,2025-01-11,Immunity Booster,Ayurvedic,1603
100147,C000185,2025-01-21,Diabetes Care,Ayurvedic,2120
100148,C000187,2025-01-18,Liver Syrup,Unani,921
100149,C000189,2025-01-02,Liver Syrup,Unani,930
100150,C000191,2025-01-20,Diabetes Care,Ayurvedic,913
100151,C000192,2025-01-08,Ashwagandha,Ayurvedic,2009
100152,C000193,2025-01-25,Liver Syrup,Unani,326
100153,C000194,2025-01-19,Diabetes Care,Ayurvedic,1042
100154,C000196,2025-01-14,Joint Care Oil,Unani,724
100155,C000196,2025-01-01,Immunity Booster,Ayurvedic,901
100156,C000197,2025-01-03,Diabetes Care,Ayurvedic,2461
100157,C000197,2025-01-22,Joint Care Oil,Unani,556
100158,C000198,2025-01-03,Joint Care Oil,Unani,725
100159,C000199,2025-01-24,Immunity Booster,Ayurvedic,985
100160,C000201,2025-01-26,Joint Care Oil,Unani,1596
100161,C000203,2025-01-28,Joint Care Oil,Unani,1690
100162,C000203,2025-01-14,Joint Care Oil,Unani,2061
100163,C000205,2025-01-08,Joint Care Oil,Unani,1318
100164,C000206,2025-01-09,Immunity Booster,Ayurvedic,2116
100165,C000207,2025-01-07,Diabetes Care,Ayurvedic,486
100166,C000207,2025-01-28,Immunity Booster,Ayurvedic,945
100167,C000208,2025-01-25,Diabetes Care,Ayurvedic,548
100168,C000208,2025-01-11,Immunity Booster,Ayurvedic,1285
100169,C000209,2025-01-13,Immunity Booster,Ayurvedic,987
100170,C000210,2025-01-01,Ashwagandha,Ayurvedic,2331
100171,C000211,2025-01-13,Diabetes Care,Ayurvedic,989
100172,C000213,2025-01-28,Ashwagandha,Ayurvedic,1285
100173,C000214,2025-01-23,Diabetes Care,Ayurvedic,2110
100174,C000215,2025-01-21,Diabetes Care,Ayurvedic,1335
100175,C000216,2025-01-14,Ashwagandha,Ayurvedic,2364
100176,C000218,2025-01-16,Liver Syrup,Unani,829
100177,C000220,2025-01-10,Liver Syrup,Unani,1374
100178,C000222,2025-01-13,Joint Care Oil,Unani,720
100179,C000223,2025-01-25,Ashwagandha,Ayurvedic,1738
100180,C000224,2025-01-01,Joint Care Oil,Unani,372
100181,C000225,2025-01-18,Liver Syrup,Unani,901
100182,C000226,2025-01-04,Diabetes Care,Ayurvedic,1841
100183,C000230,2025-01-02,Liver Syrup,Unani,2490
100184,C000231,2025-01-20,Diabetes Care,Ayurvedic,1664
100185,C000231,2025-01-27,Ashwagandha,Ayurvedic,1600
100186,C000232,2025-01-13,Ashwagandha,Ayurvedic,2429
100187,C000232,2025-01-05,Diabetes Care,Ayurvedic,1664
100188,C000233,2025-01-20,Immunity Booster,Ayurvedic,1715
100189,C000234,2025-01-02,Liver Syrup,Unani,1096
100190,C000235,2025-01-12,Ashwagandha,Ayurvedic,2194
100191,C000238,2025-01-07,Joint Care Oil,Unani,1209
100192,C000239,2025-01-22,Liver Syrup,Unani,1532
100193,C000241,2025-01-20,Ashwagandha,Ayurvedic,2142
100194,C000242,2025-01-17,Diabetes Care,Ayurvedic,1135
100195,C000243,2025-01-03,Joint Care Oil,Unani,2250
100196,C000244,2025-01-16,Ashwagandha,Ayurvedic,624
100197,C000246,2025-01-26,Joint Care Oil,Unani,396
100198,C000247,2025-01-11,Liver Syrup,Unani,977
100199,C000248,2025-01-01,Ashwagandha,Ayurvedic,728
100200,C000249,2025-01-22,Diabetes Care,Ayurvedic,804
100201,C000250,2025-01-19,Immunity Booster,Ayurvedic,1129
100202,C000251,2025-01-22,Ashwagandha,Ayurvedic,2308
100203,C000252,2025-01-13,Diabetes Care,Ayurvedic,405
100204,C000253,2025-01-12,Immunity Booster,Ayurvedic,1516
100205,C000254,2025-01-11,Diabetes Care,Ayurvedic,2131
100206,C000255,2025-01-27,Liver Syrup,Unani,1004
100207,C000255,2025-01-19,Immunity Booster,Ayurvedic,1807
100208,C000256,2025-01-02,Immunity Booster,Ayurvedic,2018
100209,C000259,2025-01-15,Joint Care Oil,Unani,381
100210,C000259,2025-01-15,Joint Care Oil,Unani,2309
100211,C000260,2025-01-18,Liver Syrup,Unani,1134
100212,C000260,2025-01-23,Immunity Booster,Ayurvedic,378
100213,C000261,2025-01-23,Joint Care Oil,Unani,973
100214,C000262,2025-01-11,Diabetes Care,Ayurvedic,403
100215,C000263,2025-01-11,Immunity Booster,Ayurvedic,687
100216,C000263,2025-01-26,Joint Care Oil,Unani,1285
100217,C000264,2025-01-06,Liver Syrup,Unani,1223
100218,C000264,2025-01-26,Immunity Booster,Ayurvedic,1482
100219,C000265,2025-01-22,Diabetes Care,Ayurvedic,2118
100220,C000266,2025-01-16,Ashwagandha,Ayurvedic,1540
100221,C000268,2025-01-14,Ashwagandha,Ayurvedic,528
100222,C000272,2025-01-13,Immunity Booster,Ayurvedic,489
100223,C000274,2025-01-05,Joint Care Oil,Unani,2002
100224,C000275,2025-01-20,Ashwagandha,Ayurvedic,769
100225,C000277,2025-01-14,Liver Syrup,Unani,456
100226,C000277,2025-01-27,Immunity Booster,Ayurvedic,441
100227,C000278,2025-01-27,Liver Syrup,Unani,923
100228,C000280,2025-01-17,Ashwagandha,Ayurvedic,2438
100229,C000281,2025-01-03,Joint Care Oil,Unani,1645
100230,C000281,2025-01-22,Diabetes Care,Ayurvedic,2141
100231,C000283,2025-01-11,Immunity Booster,Ayurvedic,935
100232,C000284,2025-01-27,Immunity Booster,Ayurvedic,2171
100233,C000284,2025-01-08,Joint Care Oil,Unani,1003
100234,C000285,2025-01-14,Diabetes Care,Ayurvedic,1375
100235,C000286,2025-01-06,Ashwagandha,Ayurvedic,643
100236,C000287,2025-01-19,Ashwagandha,Ayurvedic,2358
100237,C000288,2025-01-17,Ashwagandha,Ayurvedic,1772
100238,C000288,2025-01-25,Liver Syrup,Unani,2277
100239,C000292,2025-01-21,Immunity Booster,Ayurvedic,2286
100240,C000295,2025-01-21,Joint Care Oil,Unani,495
100241,C000296,2025-01-07,Ashwagandha,Ayurvedic,347
100242,C000299,2025-01-06,Ashwagandha,Ayurvedic,1851
100243,C000300,2025-01-11,Joint Care Oil,Unani,625
100244,C000301,2025-01-26,Ashwagandha,Ayurvedic,1420
100245,C000302,2025-01-12,Immunity Booster,Ayurvedic,1437
100246,C000303,2025-01-28,Joint Care Oil,Unani,1797
100247,C000304,2025-01-13,Diabetes Care,Ayurvedic,1951
100248,C000310,2025-01-04,Liver Syrup,Unani,946
100249,C000310,2025-01-27,Joint Care Oil,Unani,1814
100250,C000311,2025-01-24,Immunity Booster,Ayurvedic,2107
100251,C000313,2025-01-15,Joint Care Oil,Unani,2315
100252,C000314,2025-01-06,Joint Care Oil,Unani,1874
100253,C000314,2025-01-12,Joint Care Oil,Unani,2132
100254,C000315,2025-01-22,Diabetes Care,Ayurvedic,2064
100255,C000315,2025-01-04,Ashwagandha,Ayurvedic,336
100256,C000317,2025-01-27,Joint Care Oil,Unani,475
100257,C000318,2025-01-19,Joint Care Oil,Unani,2470
100258,C000319,2025-01-19,Immunity Booster,Ayurvedic,2438
100259,C000320,2025-01-01,Immunity Booster,Ayurvedic,1850
100260,C000321,2025-01-07,Liver Syrup,Unani,1856
100261,C000322,2025-01-13,Immunity Booster,Ayurvedic,697
100262,C000323,2025-01-24,Ashwagandha,Ayurvedic,2330
100263,C000323,2025-01-17,Immunity Booster,Ayurvedic,762
100264,C000324,2025-01-12,Diabetes Care,Ayurvedic,2395
100265,C000324,2025-01-26,Immunity Booster,Ayurvedic,1126
100266,C000326,2025-01-16,Immunity Booster,Ayurvedic,1164
100267,C000327,2025-01-11,Liver Syrup,Unani,2388
100268,C000330,2025-01-11,Liver Syrup,Unani,2395
100269,C000331,2025-01-05,Liver Syrup,Unani,538
100270,C000333,2025-01-24,Ashwagandha,Ayurvedic,357
100271,C000334,2025-01-18,Ashwagandha,Ayurvedic,1221
100272,C000336,2025-01-05,Ashwagandha,Ayurvedic,2275
100273,C000337,2025-01-01,Diabetes Care,Ayurvedic,1995
100274,C000337,2025-01-11,Liver Syrup,Unani,1062
100275,C000339,2025-01-11,Ashwagandha,Ayurvedic,1707
100276,C000339,2025-01-13,Immunity Booster,Ayurvedic,1851
100277,C000340,2025-01-09,Ashwagandha,Ayurvedic,513
100278,C000341,2025-01-08,Diabetes Care,Ayurvedic,2257
100279,C000344,2025-01-07,Ashwagandha,Ayurvedic,2174
100280,C000344,2025-01-01,Liver Syrup,Unani,1354
100281,C000345,2025-01-27,Liver Syrup,Unani,1470
100282,C000345,2025-01-16,Ashwagandha,Ayurvedic,983
100283,C000346,2025-01-22,Ashwagandha,Ayurvedic,2028
100284,C000346,2025-01-06,Liver Syrup,Unani,629
100285,C000348,2025-01-12,Immunity Booster,Ayurvedic,1451
100286,C000351,2025-01-06,Liver Syrup,Unani,2404
100287,C000352,2025-01-24,Diabetes Care,Ayurvedic,830
100288,C000352,2025-01-23,Ashwagandha,Ayurvedic,1917
100289,C000353,2025-01-03,Liver Syrup,Unani,564
100290,C000356,2025-01-03,Joint Care Oil,Unani,398
100291,C000357,2025-01-05,Ashwagandha,Ayurvedic,1224
100292,C000357,2025-01-21,Diabetes Care,Ayurvedic,971
100293,C000358,2025-01-05,Joint Care Oil,Unani,1277
100294,C000359,2025-01-05,Ashwagandha,Ayurvedic,307
100295,C000360,2025-01-18,Joint Care Oil,Unani,1788
100296,C000362,2025-01-07,Immunity Booster,Ayurvedic,1854
100297,C000363,2025-01-13,Liver Syrup,Unani,925
100298,C000364,2025-01-16,Liver Syrup,Unani,971
100299,C000366,2025-01-05,Joint Care Oil,Unani,1278
100300,C000366,2025-01-16,Joint Care Oil,Unani,1205
100301,C000367,2025-01-22,Diabetes Care,Ayurvedic,1373
100302,C000368,2025-01-19,Joint Care Oil,Unani,1546
100303,C000369,2025-01-11,Ashwagandha,Ayurvedic,1993
100304,C000370,2025-01-01,Diabetes Care,Ayurvedic,1677
100305,C000371,2025-01-25,Joint Care Oil,Unani,2400
100306,C000372,2025-01-15,Joint Care Oil,Unani,2250
100307,C000374,2025-01-09,Liver Syrup,Unani,2075
100308,C000374,2025-01-25,Liver Syrup,Unani,451
100309,C000375,2025-01-28,Immunity Booster,Ayurvedic,1942
100310,C000377,2025-01-13,Ashwagandha,Ayurvedic,620
100311,C000378,2025-01-27,Immunity Booster,Ayurvedic,2064
100312,C000379,2025-01-26,Immunity Booster,Ayurvedic,1966
100313,C000380,2025-01-01,Joint Care Oil,Unani,1849
100314,C000382,2025-01-04,Diabetes Care,Ayurvedic,1892
100315,C000382,2025-01-27,Ashwagandha,Ayurvedic,1002
100316,C000383,2025-01-14,Ashwagandha,Ayurvedic,635
100317,C000383,2025-01-16,Joint Care Oil,Unani,1483
100318,C000384,2025-01-25,Ashwagandha,Ayurvedic,1327
100319,C000385,2025-01-10,Diabetes Care,Ayurvedic,1621
100320,C000385,2025-01-01,Diabetes Care,Ayurvedic,2135
100321,C000387,2025-01-09,Ashwagandha,Ayurvedic,2385
100322,C000388,2025-01-11,Diabetes Care,Ayurvedic,1075
100323,C000388,2025-01-02,Joint Care Oil,Unani,1850
100324,C000390,2025-01-18,Joint Care Oil,Unani,2439
100325,C000391,2025-01-03,Immunity Booster,Ayurvedic,866
100326,C000392,2025-01-26,Immunity Booster,Ayurvedic,449
100327,C000393,2025-01-11,Immunity Booster,Ayurvedic,1213
100328,C000394,2025-01-17,Liver Syrup,Unani,468
100329,C000395,2025-01-28,Ashwagandha,Ayurvedic,876
100330,C000396,2025-01-08,Liver Syrup,Unani,2398
100331,C000397,2025-01-05,Ashwagandha,Ayurvedic,781
100332,C000397,2025-01-25,Joint Care Oil,Unani,2100
100333,C000398,2025-01-23,Liver Syrup,Unani,2382
100334,C000399,2025-01-01,Immunity Booster,Ayurvedic,2260
100335,C000400,2025-01-14,Ashwagandha,Ayurvedic,1682
100336,C000401,2025-01-27,Liver Syrup,Unani,2337
100337,C000402,2025-01-11,Ashwagandha,Ayurvedic,1185
100338,C000403,2025-01-08,Joint Care Oil,Unani,2068
100339,C000406,2025-01-03,Diabetes Care,Ayurvedic,2435
100340,C000407,2025-01-23,Liver Syrup,Unani,915
100341,C000407,2025-01-07,Liver Syrup,Unani,1675
100342,C000408,2025-01-19,Joint Care Oil,Unani,1068
100343,C000409,2025-01-15,Immunity Booster,Ayurvedic,820
100344,C000410,2025-01-25,Liver Syrup,Unani,2157
100345,C000410,2025-01-04,Joint Care Oil,Unani,1464
100346,C000411,2025-01-14,Ashwagandha,Ayurvedic,866
100347,C000412,2025-01-15,Ashwagandha,Ayurvedic,634
100348,C000413,2025-01-26,Ashwagandha,Ayurvedic,2489
100349,C000417,2025-01-15,Liver Syrup,Unani,2309
100350,C000420,2025-01-04,Liver Syrup,Unani,997
100351,C000420,2025-01-10,Diabetes Care,Ayurvedic,2465
100352,C000421,2025-01-21,Diabetes Care,Ayurvedic,1781
100353,C000422,2025-01-04,Joint Care Oil,Unani,2076
100354,C000424,2025-01-08,Immunity Booster,Ayurvedic,428
100355,C000425,2025-01-25,Liver Syrup,Unani,1554
100356,C000430,2025-01-24,Immunity Booster,Ayurvedic,1642
100357,C000432,2025-01-19,Ashwagandha,Ayurvedic,1239
100358,C000433,2025-01-03,Joint Care Oil,Unani,433
100359,C000433,2025-01-21,Diabetes Care,Ayurvedic,2425
100360,C000434,2025-01-03,Liver Syrup,Unani,1980
100361,C000435,2025-01-01,Diabetes Care,Ayurvedic,1386
100362,C000436,2025-01-07,Liver Syrup,Unani,645
100363,C000437,2025-01-01,Immunity Booster,Ayurvedic,2377
100364,C000438,2025-01-26,Diabetes Care,Ayurvedic,734
100365,C000440,2025-01-13,Immunity Booster,Ayurvedic,1410
100366,C000441,2025-01-02,Joint Care Oil,Unani,2369
100367,C000441,2025-01-05,Liver Syrup,Unani,2246
100368,C000445,2025-01-19,Diabetes Care,Ayurvedic,336
100369,C000446,2025-01-28,Diabetes Care,Ayurvedic,1106
100370,C000448,2025-01-08,Liver Syrup,Unani,715
100371,C000449,2025-01-20,Joint Care Oil,Unani,437
100372,C000450,2025-01-04,Liver Syrup,Unani,1404
100373,C000450,2025-01-19,Joint Care Oil,Unani,1632
100374,C000451,2025-01-11,Diabetes Care,Ayurvedic,1660
100375,C000451,2025-01-11,Joint Care Oil,Unani,2193
100376,C000452,2025-01-19,Joint Care Oil,Unani,2114
100377,C000453,2025-01-06,Joint Care Oil,Unani,1252
100378,C000454,2025-01-02,Diabetes Care,Ayurvedic,1810
100379,C000455,2025-01-13,Joint Care Oil,Unani,593
100380,C000458,2025-01-05,Liver Syrup,Unani,1430
100381,C000459,2025-01-25,Immunity Booster,Ayurvedic,1867
100382,C000460,2025-01-15,Joint Care Oil,Unani,901
100383,C000460,2025-01-21,Liver Syrup,Unani,2187
100384,C000461,2025-01-12,Ashwagandha,Ayurvedic,1043
100385,C000462,2025-01-10,Ashwagandha,Ayurvedic,2244
100386,C000463,2025-01-15,Joint Care Oil,Unani,1200
100387,C000464,2025-01-25,Immunity Booster,Ayurvedic,659
100388,C000466,2025-01-01,Liver Syrup,Unani,2155
100389,C000469,2025-01-23,Liver Syrup,Unani,2197
100390,C000470,2025-01-26,Liver Syrup,Unani,1622
100391,C000471,2025-01-03,Immunity Booster,Ayurvedic,2296
100392,C000472,2025-01-03,Diabetes Care,Ayurvedic,1499
100393,C000473,2025-01-28,Joint Care Oil,Unani,502
100394,C000474,2025-01-22,Liver Syrup,Unani,2483
100395,C000476,2025-01-15,Joint Care Oil,Unani,705
100396,C000477,2025-01-28,Joint Care Oil,Unani,1621
100397,C000478,2025-01-01,Ashwagandha,Ayurvedic,798
100398,C000478,2025-01-01,Joint Care Oil,Unani,702
100399,C000479,2025-01-11,Liver Syrup,Unani,1390
100400,C000479,2025-01-18,Joint Care Oil,Unani,1244
100401,C000480,2025-01-01,Ashwagandha,Ayurvedic,522
100402,C000482,2025-01-02,Immunity Booster,Ayurvedic,477
100403,C000483,2025-01-12,Ashwagandha,Ayurvedic,1873
100404,C000485,2025-01-02,Immunity Booster,Ayurvedic,1348
100405,C000488,2025-01-09,Ashwagandha,Ayurvedic,1105
100406,C000489,2025-01-16,Diabetes Care,Ayurvedic,2486
100407,C000489,2025-01-13,Joint Care Oil,Unani,894
100408,C000490,2025-01-18,Ashwagandha,Ayurvedic,876
100409,C000491,2025-01-19,Diabetes Care,Ayurvedic,2439
100410,C000492,2025-01-09,Joint Care Oil,Unani,566
100411,C000493,2025-01-28,Ashwagandha,Ayurvedic,2462
100412,C000494,2025-01-11,Liver Syrup,Unani,1319
100413,C000495,2025-01-06,Ashwagandha,Ayurvedic,691
100414,C000495,2025-01-28,Immunity Booster,Ayurvedic,2336
100415,C000496,2025-01-22,Ashwagandha,Ayurvedic,1808
100416,C000496,2025-01-27,Joint Care Oil,Unani,1842
100417,C000497,2025-01-08,Liver Syrup,Unani,1483
100418,C000500,2025-01-03,Liver Syrup,Unani,2499
100419,C000501,2025-01-21,Liver Syrup,Unani,666
100420,C000502,2025-01-27,Ashwagandha,Ayurvedic,1336
100421,C000503,2025-01-14,Liver Syrup,Unani,1587
100422,C000504,2025-01-24,Diabetes Care,Ayurvedic,428
100423,C000505,2025-01-01,Ashwagandha,Ayurvedic,1992
100424,C000505,2025-01-26,Immunity Booster,Ayurvedic,1950
100425,C000506,2025-01-22,Diabetes Care,Ayurvedic,359
100426,C000507,2025-01-13,Diabetes Care,Ayurvedic,1701
100427,C000508,2025-01-09,Joint Care Oil,Unani,1447
100428,C000508,2025-01-26,Joint Care Oil,Unani,1624
100429,C000509,2025-01-01,Liver Syrup,Unani,1457
100430,C000509,2025-01-23,Immunity Booster,Ayurvedic,1085
100431,C000511,2025-01-21,Ashwagandha,Ayurvedic,1704
100432,C000512,2025-01-11,Liver Syrup,Unani,744
100433,C000513,2025-01-19,Ashwagandha,Ayurvedic,1806
100434,C000514,2025-01-04,Joint Care Oil,Unani,431
100435,C000517,2025-01-18,Liver Syrup,Unani,1446
100436,C000518,2025-01-17,Diabetes Care,Ayurvedic,1779
100437,C000519,2025-01-02,Liver Syrup,Unani,814
100438,C000519,2025-01-23,Immunity Booster,Ayurvedic,660
100439,C000520,2025-01-08,Immunity Booster,Ayurvedic,1400
100440,C000522,2025-01-12,Immunity Booster,Ayurvedic,2236
100441,C000523,2025-01-27,Immunity Booster,Ayurvedic,1245
100442,C000523,2025-01-01,Ashwagandha,Ayurvedic,953
100443,C000524,2025-01-20,Liver Syrup,Unani,1160
100444,C000526,2025-01-26,Immunity Booster,Ayurvedic,1465
100445,C000527,2025-01-19,Ashwagandha,Ayurvedic,2208
100446,C000528,2025-01-03,Joint Care Oil,Unani,641
