Order_ID,Customer_ID,Order_Date,Product,Category,Revenue,First_Purchase_Date,Cohort_Month,txn_month_str,cohort_month_str,Month_Offset,Is_NTB
100029,C000033,1/1/2025,Liver Syrup,Unani,1967,1/1/2025,1/1/2025,2025-01,2025-01,0,1
100030,C000034,1/13/2025,Diabetes Care,Ayurvedic,805,1/13/2025,1/1/2025,2025-01,2025-01,0,1
100031,C000035,1/23/2025,Ashwagandha,Ayurvedic,1642,1/23/2025,1/1/2025,2025-01,2025-01,0,1
100032,C000036,1/5/2025,Diabetes Care,Ayurvedic,1729,1/5/2025,1/1/2025,2025-01,2025-01,0,1
100033,C000037,1/22/2025,Immunity Booster,Ayurvedic,333,1/13/2025,1/1/2025,2025-01,2025-01,0,1
100034,C000037,1/13/2025,Liver Syrup,Unani,1823,1/13/2025,1/1/2025,2025-01,2025-01,0,1
100035,C000038,1/7/2025,Joint Care Oil,Unani,2500,1/7/2025,1/1/2025,2025-01,2025-01,0,1
100036,C000039,1/24/2025,Immunity Booster,Ayurvedic,1963,1/24/2025,1/1/2025,2025-01,2025-01,0,1
100037,C000040,1/7/2025,Diabetes Care,Ayurvedic,1375,1/7/2025,1/1/2025,2025-01,2025-01,0,1
100038,C000043,1/2/2025,Immunity Booster,Ayurvedic,2445,1/2/2025,1/1/2025,2025-01,2025-01,0,1
100039,C000044,1/14/2025,Immunity Booster,Ayurvedic,884,1/14/2025,1/1/2025,2025-01,2025-01,0,1
100040,C000045,1/22/2025,Diabetes Care,Ayurvedic,2421,1/22/2025,1/1/2025,2025-01,2025-01,0,1
100041,C000046,1/21/2025,Joint Care Oil,Unani,1294,1/21/2025,1/1/2025,2025-01,2025-01,0,1
100042,C000048,1/2/2025,Joint Care Oil,Unani,1264,1/2/2025,1/1/2025,2025-01,2025-01,0,1
100043,C000052,1/7/2025,Diabetes Care,Ayurvedic,1874,1/7/2025,1/1/2025,2025-01,2025-01,0,1
100044,C000052,1/25/2025,Liver Syrup,Unani,832,1/7/2025,1/1/2025,2025-01,2025-01,0,1
100045,C000054,1/26/2025,Joint Care Oil,Unani,2258,1/26/2025,1/1/2025,2025-01,2025-01,0,1
100046,C000057,1/17/2025,Ashwagandha,Ayurvedic,2317,1/17/2025,1/1/2025,2025-01,2025-01,0,1
100047,C000061,1/14/2025,Joint Care Oil,Unani,806,1/14/2025,1/1/2025,2025-01,2025-01,0,1
100048,C000062,1/5/2025,Joint Care Oil,Unani,2072,1/5/2025,1/1/2025,2025-01,2025-01,0,1
100049,C000063,1/6/2025,Liver Syrup,Unani,1100,1/6/2025,1/1/2025,2025-01,2025-01,0,1
100050,C000063,1/25/2025,Liver Syrup,Unani,2139,1/6/2025,1/1/2025,2025-01,2025-01,0,1
100051,C000065,1/3/2025,Diabetes Care,Ayurvedic,1981,1/3/2025,1/1/2025,2025-01,2025-01,0,1
100052,C000066,1/4/2025,Liver Syrup,Unani,1993,1/4/2025,1/1/2025,2025-01,2025-01,0,1
100053,C000070,1/1/2025,Joint Care Oil,Unani,1165,1/1/2025,1/1/2025,2025-01,2025-01,0,1
100054,C000071,1/10/2025,Immunity Booster,Ayurvedic,1898,1/10/2025,1/1/2025,2025-01,2025-01,0,1
100055,C000073,1/10/2025,Liver Syrup,Unani,2296,1/10/2025,1/1/2025,2025-01,2025-01,0,1
100056,C000073,1/22/2025,Joint Care Oil,Unani,1637,1/10/2025,1/1/2025,2025-01,2025-01,0,1
100057,C000074,1/3/2025,Ashwagandha,Ayurvedic,2257,1/3/2025,1/1/2025,2025-01,2025-01,0,1
100058,C000075,1/21/2025,Joint Care Oil,Unani,1818,1/21/2025,1/1/2025,2025-01,2025-01,0,1
100059,C000077,1/3/2025,Diabetes Care,Ayurvedic,734,1/3/2025,1/1/2025,2025-01,2025-01,0,1
100060,C000078,1/17/2025,Immunity Booster,Ayurvedic,427,1/17/2025,1/1/2025,2025-01,2025-01,0,1
100061,C000080,1/12/2025,Ashwagandha,Ayurvedic,870,1/7/2025,1/1/2025,2025-01,2025-01,0,1
100062,C000080,1/7/2025,Ashwagandha,Ayurvedic,1216,1/7/2025,1/1/2025,2025-01,2025-01,0,1
100063,C000081,1/8/2025,Diabetes Care,Ayurvedic,1923,1/8/2025,1/1/2025,2025-01,2025-01,0,1
100064,C000082,1/28/2025,Liver Syrup,Unani,382,1/28/2025,1/1/2025,2025-01,2025-01,0,1
100065,C000083,1/12/2025,Ashwagandha,Ayurvedic,1897,1/12/2025,1/1/2025,2025-01,2025-01,0,1
100066,C000084,1/2/2025,Diabetes Care,Ayurvedic,485,1/2/2025,1/1/2025,2025-01,2025-01,0,1
100067,C000085,1/27/2025,Ashwagandha,Ayurvedic,1845,1/27/2025,1/1/2025,2025-01,2025-01,0,1
100068,C000088,1/1/2025,Immunity Booster,Ayurvedic,1462,1/1/2025,1/1/2025,2025-01,2025-01,0,1
100069,C000089,1/27/2025,Diabetes Care,Ayurvedic,2148,1/27/2025,1/1/2025,2025-01,2025-01,0,1
100070,C000092,1/27/2025,Liver Syrup,Unani,1820,1/27/2025,1/1/2025,2025-01,2025-01,0,1
100071,C000094,1/4/2025,Joint Care Oil,Unani,2213,1/4/2025,1/1/2025,2025-01,2025-01,0,1
100072,C000094,1/17/2025,Ashwagandha,Ayurvedic,1592,1/4/2025,1/1/2025,2025-01,2025-01,0,1
100073,C000096,1/21/2025,Joint Care Oil,Unani,1055,1/21/2025,1/1/2025,2025-01,2025-01,0,1
100074,C000097,1/11/2025,Immunity Booster,Ayurvedic,1128,1/11/2025,1/1/2025,2025-01,2025-01,0,1
100075,C000098,1/25/2025,Immunity Booster,Ayurvedic,2310,1/25/2025,1/1/2025,2025-01,2025-01,0,1
100076,C000099,1/21/2025,Ashwagandha,Ayurvedic,1253,1/21/2025,1/1/2025,2025-01,2025-01,0,1
100077,C000100,1/21/2025,Liver Syrup,Unani,2237,1/21/2025,1/1/2025,2025-01,2025-01,0,1
100078,C000102,1/16/2025,Immunity Booster,Ayurvedic,497,1/16/2025,1/1/2025,2025-01,2025-01,0,1
100079,C000104,1/22/2025,Diabetes Care,Ayurvedic,586,1/22/2025,1/1/2025,2025-01,2025-01,0,1
100080,C000105,1/14/2025,Liver Syrup,Unani,1851,1/14/2025,1/1/2025,2025-01,2025-01,0,1
100081,C000106,1/27/2025,Ashwagandha,Ayurvedic,1097,1/5/2025,1/1/2025,2025-01,2025-01,0,1
100082,C000106,1/5/2025,Joint Care Oil,Unani,584,1/5/2025,1/1/2025,2025-01,2025-01,0,1
100083,C000108,1/18/2025,Liver Syrup,Unani,1422,1/18/2025,1/1/2025,2025-01,2025-01,0,1
100084,C000109,1/23/2025,Joint Care Oil,Unani,1900,1/23/2025,1/1/2025,2025-01,2025-01,0,1
100085,C000110,1/17/2025,Immunity Booster,Ayurvedic,1385,1/17/2025,1/1/2025,2025-01,2025-01,0,1
100086,C000111,1/1/2025,Immunity Booster,Ayurvedic,1466,1/1/2025,1/1/2025,2025-01,2025-01,0,1
100087,C000114,1/14/2025,Immunity Booster,Ayurvedic,2348,1/14/2025,1/1/2025,2025-01,2025-01,0,1
100088,C000114,1/14/2025,Ashwagandha,Ayurvedic,2152,1/14/2025,1/1/2025,2025-01,2025-01,0,1
100089,C000115,1/10/2025,Ashwagandha,Ayurvedic,599,1/10/2025,1/1/2025,2025-01,2025-01,0,1
100090,C000116,1/17/2025,Diabetes Care,Ayurvedic,1075,1/17/2025,1/1/2025,2025-01,2025-01,0,1
100091,C000119,1/17/2025,Joint Care Oil,Unani,2185,1/17/2025,1/1/2025,2025-01,2025-01,0,1
100092,C000120,1/6/2025,Ashwagandha,Ayurvedic,2325,1/6/2025,1/1/2025,2025-01,2025-01,0,1
100093,C000121,1/21/2025,Ashwagandha,Ayurvedic,641,1/21/2025,1/1/2025,2025-01,2025-01,0,1
100094,C000122,1/23/2025,Joint Care Oil,Unani,1184,1/23/2025,1/1/2025,2025-01,2025-01,0,1
100095,C000123,1/4/2025,Joint Care Oil,Unani,1447,1/4/2025,1/1/2025,2025-01,2025-01,0,1
100096,C000124,1/23/2025,Joint Care Oil,Unani,342,1/23/2025,1/1/2025,2025-01,2025-01,0,1
100097,C000125,1/14/2025,Liver Syrup,Unani,1962,1/14/2025,1/1/2025,2025-01,2025-01,0,1
100098,C000127,1/18/2025,Ashwagandha,Ayurvedic,456,1/18/2025,1/1/2025,2025-01,2025-01,0,1
100099,C000128,1/23/2025,Liver Syrup,Unani,1276,1/23/2025,1/1/2025,2025-01,2025-01,0,1
100100,C000128,1/27/2025,Joint Care Oil,Unani,376,1/23/2025,1/1/2025,2025-01,2025-01,0,1
100101,C000129,1/4/2025,Joint Care Oil,Unani,2000,1/4/2025,1/1/2025,2025-01,2025-01,0,1
100102,C000129,1/26/2025,Joint Care Oil,Unani,507,1/4/2025,1/1/2025,2025-01,2025-01,0,1
100103,C000130,1/26/2025,Joint Care Oil,Unani,1145,1/26/2025,1/1/2025,2025-01,2025-01,0,1
100104,C000131,1/27/2025,Immunity Booster,Ayurvedic,1927,1/27/2025,1/1/2025,2025-01,2025-01,0,1
100105,C000133,1/3/2025,Joint Care Oil,Unani,2226,1/3/2025,1/1/2025,2025-01,2025-01,0,1
100106,C000134,1/5/2025,Immunity Booster,Ayurvedic,1412,1/5/2025,1/1/2025,2025-01,2025-01,0,1
100107,C000135,1/17/2025,Immunity Booster,Ayurvedic,2085,1/17/2025,1/1/2025,2025-01,2025-01,0,1
100108,C000136,1/2/2025,Immunity Booster,Ayurvedic,700,1/2/2025,1/1/2025,2025-01,2025-01,0,1
100109,C000137,1/25/2025,Ashwagandha,Ayurvedic,1144,1/25/2025,1/1/2025,2025-01,2025-01,0,1
100110,C000138,1/24/2025,Diabetes Care,Ayurvedic,529,1/24/2025,1/1/2025,2025-01,2025-01,0,1
100111,C000140,1/21/2025,Diabetes Care,Ayurvedic,2016,1/21/2025,1/1/2025,2025-01,2025-01,0,1
100112,C000141,1/11/2025,Liver Syrup,Unani,1845,1/11/2025,1/1/2025,2025-01,2025-01,0,1
100113,C000144,1/13/2025,Joint Care Oil,Unani,311,1/13/2025,1/1/2025,2025-01,2025-01,0,1
100114,C000145,1/16/2025,Immunity Booster,Ayurvedic,887,1/16/2025,1/1/2025,2025-01,2025-01,0,1
100115,C000146,1/22/2025,Immunity Booster,Ayurvedic,2322,1/22/2025,1/1/2025,2025-01,2025-01,0,1
100116,C000149,1/17/2025,Joint Care Oil,Unani,1895,1/17/2025,1/1/2025,2025-01,2025-01,0,1
100117,C000150,1/28/2025,Liver Syrup,Unani,657,1/28/2025,1/1/2025,2025-01,2025-01,0,1
100118,C000151,1/24/2025,Immunity Booster,Ayurvedic,2458,1/24/2025,1/1/2025,2025-01,2025-01,0,1
100119,C000152,1/1/2025,Immunity Booster,Ayurvedic,1246,1/1/2025,1/1/2025,2025-01,2025-01,0,1
100120,C000153,1/27/2025,Ashwagandha,Ayurvedic,1629,1/19/2025,1/1/2025,2025-01,2025-01,0,1
100121,C000153,1/19/2025,Liver Syrup,Unani,2238,1/19/2025,1/1/2025,2025-01,2025-01,0,1
100122,C000154,1/15/2025,Diabetes Care,Ayurvedic,403,1/15/2025,1/1/2025,2025-01,2025-01,0,1
100123,C000155,1/24/2025,Immunity Booster,Ayurvedic,901,1/24/2025,1/1/2025,2025-01,2025-01,0,1
100124,C000156,1/2/2025,Ashwagandha,Ayurvedic,1583,1/2/2025,1/1/2025,2025-01,2025-01,0,1
100125,C000158,1/10/2025,Liver Syrup,Unani,2176,1/10/2025,1/1/2025,2025-01,2025-01,0,1
100126,C000159,1/12/2025,Liver Syrup,Unani,1622,1/2/2025,1/1/2025,2025-01,2025-01,0,1
100127,C000159,1/2/2025,Liver Syrup,Unani,1716,1/2/2025,1/1/2025,2025-01,2025-01,0,1
100128,C000160,1/6/2025,Liver Syrup,Unani,1863,1/6/2025,1/1/2025,2025-01,2025-01,0,1
100129,C000160,1/8/2025,Ashwagandha,Ayurvedic,2327,1/6/2025,1/1/2025,2025-01,2025-01,0,1
100130,C000161,1/13/2025,Diabetes Care,Ayurvedic,1642,1/13/2025,1/1/2025,2025-01,2025-01,0,1
100131,C000161,1/26/2025,Ashwagandha,Ayurvedic,1791,1/13/2025,1/1/2025,2025-01,2025-01,0,1
100132,C000163,1/20/2025,Joint Care Oil,Unani,888,1/20/2025,1/1/2025,2025-01,2025-01,0,1
100133,C000164,1/3/2025,Ashwagandha,Ayurvedic,595,1/3/2025,1/1/2025,2025-01,2025-01,0,1
100134,C000165,1/23/2025,Joint Care Oil,Unani,325,1/16/2025,1/1/2025,2025-01,2025-01,0,1
100135,C000165,1/16/2025,Ashwagandha,Ayurvedic,361,1/16/2025,1/1/2025,2025-01,2025-01,0,1
100136,C000166,1/11/2025,Ashwagandha,Ayurvedic,741,1/11/2025,1/1/2025,2025-01,2025-01,0,1
100137,C000167,1/28/2025,Diabetes Care,Ayurvedic,1458,1/28/2025,1/1/2025,2025-01,2025-01,0,1
100138,C000169,1/19/2025,Diabetes Care,Ayurvedic,2258,1/19/2025,1/1/2025,2025-01,2025-01,0,1
100139,C000170,1/17/2025,Immunity Booster,Ayurvedic,1770,1/17/2025,1/1/2025,2025-01,2025-01,0,1
100140,C000172,1/27/2025,Joint Care Oil,Unani,1194,1/27/2025,1/1/2025,2025-01,2025-01,0,1
100141,C000173,1/2/2025,Diabetes Care,Ayurvedic,969,1/2/2025,1/1/2025,2025-01,2025-01,0,1
100142,C000174,1/26/2025,Immunity Booster,Ayurvedic,2072,1/4/2025,1/1/2025,2025-01,2025-01,0,1
100143,C000174,1/4/2025,Joint Care Oil,Unani,1819,1/4/2025,1/1/2025,2025-01,2025-01,0,1
100144,C000175,1/24/2025,Joint Care Oil,Unani,1027,1/24/2025,1/1/2025,2025-01,2025-01,0,1
100145,C000179,1/1/2025,Liver Syrup,Unani,1161,1/1/2025,1/1/2025,2025-01,2025-01,0,1
100146,C000180,1/11/2025,Immunity Booster,Ayurvedic,1603,1/11/2025,1/1/2025,2025-01,2025-01,0,1
100147,C000185,1/21/2025,Diabetes Care,Ayurvedic,2120,1/21/2025,1/1/2025,2025-01,2025-01,0,1
100148,C000187,1/18/2025,Liver Syrup,Unani,921,1/18/2025,1/1/2025,2025-01,2025-01,0,1
100149,C000189,1/2/2025,Liver Syrup,Unani,930,1/2/2025,1/1/2025,2025-01,2025-01,0,1
100150,C000191,1/20/2025,Diabetes Care,Ayurvedic,913,1/20/2025,1/1/2025,2025-01,2025-01,0,1
100151,C000192,1/8/2025,Ashwagandha,Ayurvedic,2009,1/8/2025,1/1/2025,2025-01,2025-01,0,1
100152,C000193,1/25/2025,Liver Syrup,Unani,326,1/25/2025,1/1/2025,2025-01,2025-01,0,1
100153,C000194,1/19/2025,Diabetes Care,Ayurvedic,1042,1/19/2025,1/1/2025,2025-01,2025-01,0,1
100154,C000196,1/14/2025,Joint Care Oil,Unani,724,1/1/2025,1/1/2025,2025-01,2025-01,0,1
100155,C000196,1/1/2025,Immunity Booster,Ayurvedic,901,1/1/2025,1/1/2025,2025-01,2025-01,0,1
100156,C000197,1/3/2025,Diabetes Care,Ayurvedic,2461,1/3/2025,1/1/2025,2025-01,2025-01,0,1
100157,C000197,1/22/2025,Joint Care Oil,Unani,556,1/3/2025,1/1/2025,2025-01,2025-01,0,1
100158,C000198,1/3/2025,Joint Care Oil,Unani,725,1/3/2025,1/1/2025,2025-01,2025-01,0,1
100159,C000199,1/24/2025,Immunity Booster,Ayurvedic,985,1/24/2025,1/1/2025,2025-01,2025-01,0,1
100160,C000201,1/26/2025,Joint Care Oil,Unani,1596,1/26/2025,1/1/2025,2025-01,2025-01,0,1
100161,C000203,1/28/2025,Joint Care Oil,Unani,1690,1/14/2025,1/1/2025,2025-01,2025-01,0,1
100162,C000203,1/14/2025,Joint Care Oil,Unani,2061,1/14/2025,1/1/2025,2025-01,2025-01,0,1
100163,C000205,1/8/2025,Joint Care Oil,Unani,1318,1/8/2025,1/1/2025,2025-01,2025-01,0,1
100164,C000206,1/9/2025,Immunity Booster,Ayurvedic,2116,1/9/2025,1/1/2025,2025-01,2025-01,0,1
100165,C000207,1/7/2025,Diabetes Care,Ayurvedic,486,1/7/2025,1/1/2025,2025-01,2025-01,0,1
100166,C000207,1/28/2025,Immunity Booster,Ayurvedic,945,1/7/2025,1/1/2025,2025-01,2025-01,0,1
100167,C000208,1/25/2025,Diabetes Care,Ayurvedic,548,1/11/2025,1/1/2025,2025-01,2025-01,0,1
100168,C000208,1/11/2025,Immunity Booster,Ayurvedic,1285,1/11/2025,1/1/2025,2025-01,2025-01,0,1
100169,C000209,1/13/2025,Immunity Booster,Ayurvedic,987,1/13/2025,1/1/2025,2025-01,2025-01,0,1
100170,C000210,1/1/2025,Ashwagandha,Ayurvedic,2331,1/1/2025,1/1/2025,2025-01,2025-01,0,1
100171,C000211,1/13/2025,Diabetes Care,Ayurvedic,989,1/13/2025,1/1/2025,2025-01,2025-01,0,1
100172,C000213,1/28/2025,Ashwagandha,Ayurvedic,1285,1/28/2025,1/1/2025,2025-01,2025-01,0,1
100173,C000214,1/23/2025,Diabetes Care,Ayurvedic,2110,1/23/2025,1/1/2025,2025-01,2025-01,0,1
100174,C000215,1/21/2025,Diabetes Care,Ayurvedic,1335,1/21/2025,1/1/2025,2025-01,2025-01,0,1
100175,C000216,1/14/2025,Ashwagandha,Ayurvedic,2364,1/14/2025,1/1/2025,2025-01,2025-01,0,1
100176,C000218,1/16/2025,Liver Syrup,Unani,829,1/16/2025,1/1/2025,2025-01,2025-01,0,1
100177,C000220,1/10/2025,Liver Syrup,Unani,1374,1/10/2025,1/1/2025,2025-01,2025-01,0,1
100178,C000222,1/13/2025,Joint Care Oil,Unani,720,1/13/2025,1/1/2025,2025-01,2025-01,0,1
100179,C000223,1/25/2025,Ashwagandha,Ayurvedic,1738,1/25/2025,1/1/2025,2025-01,2025-01,0,1
100180,C000224,1/1/2025,Joint Care Oil,Unani,372,1/1/2025,1/1/2025,2025-01,2025-01,0,1
100181,C000225,1/18/2025,Liver Syrup,Unani,901,1/18/2025,1/1/2025,2025-01,2025-01,0,1
100182,C000226,1/4/2025,Diabetes Care,Ayurvedic,1841,1/4/2025,1/1/2025,2025-01,2025-01,0,1
100183,C000230,1/2/2025,Liver Syrup,Unani,2490,1/2/2025,1/1/2025,2025-01,2025-01,0,1
100184,C000231,1/20/2025,Diabetes Care,Ayurvedic,1664,1/20/2025,1/1/2025,2025-01,2025-01,0,1
100185,C000231,1/27/2025,Ashwagandha,Ayurvedic,1600,1/20/2025,1/1/2025,2025-01,2025-01,0,1
100186,C000232,1/13/2025,Ashwagandha,Ayurvedic,2429,1/5/2025,1/1/2025,2025-01,2025-01,0,1
100187,C000232,1/5/2025,Diabetes Care,Ayurvedic,1664,1/5/2025,1/1/2025,2025-01,2025-01,0,1
100188,C000233,1/20/2025,Immunity Booster,Ayurvedic,1715,1/20/2025,1/1/2025,2025-01,2025-01,0,1
100189,C000234,1/2/2025,Liver Syrup,Unani,1096,1/2/2025,1/1/2025,2025-01,2025-01,0,1
100190,C000235,1/12/2025,Ashwagandha,Ayurvedic,2194,1/12/2025,1/1/2025,2025-01,2025-01,0,1
100191,C000238,1/7/2025,Joint Care Oil,Unani,1209,1/7/2025,1/1/2025,2025-01,2025-01,0,1
100192,C000239,1/22/2025,Liver Syrup,Unani,1532,1/22/2025,1/1/2025,2025-01,2025-01,0,1
100193,C000241,1/20/2025,Ashwagandha,Ayurvedic,2142,1/20/2025,1/1/2025,2025-01,2025-01,0,1
100194,C000242,1/17/2025,Diabetes Care,Ayurvedic,1135,1/17/2025,1/1/2025,2025-01,2025-01,0,1
100195,C000243,1/3/2025,Joint Care Oil,Unani,2250,1/3/2025,1/1/2025,2025-01,2025-01,0,1
100196,C000244,1/16/2025,Ashwagandha,Ayurvedic,624,1/16/2025,1/1/2025,2025-01,2025-01,0,1
100197,C000246,1/26/2025,Joint Care Oil,Unani,396,1/26/2025,1/1/2025,2025-01,2025-01,0,1
100198,C000247,1/11/2025,Liver Syrup,Unani,977,1/11/2025,1/1/2025,2025-01,2025-01,0,1
100199,C000248,1/1/2025,Ashwagandha,Ayurvedic,728,1/1/2025,1/1/2025,2025-01,2025-01,0,1
100200,C000249,1/22/2025,Diabetes Care,Ayurvedic,804,1/22/2025,1/1/2025,2025-01,2025-01,0,1
100201,C000250,1/19/2025,Immunity Booster,Ayurvedic,1129,1/19/2025,1/1/2025,2025-01,2025-01,0,1
100202,C000251,1/22/2025,Ashwagandha,Ayurvedic,2308,1/22/2025,1/1/2025,2025-01,2025-01,0,1
100203,C000252,1/13/2025,Diabetes Care,Ayurvedic,405,1/13/2025,1/1/2025,2025-01,2025-01,0,1
100204,C000253,1/12/2025,Immunity Booster,Ayurvedic,1516,1/12/2025,1/1/2025,2025-01,2025-01,0,1
100205,C000254,1/11/2025,Diabetes Care,Ayurvedic,2131,1/11/2025,1/1/2025,2025-01,2025-01,0,1
100206,C000255,1/27/2025,Liver Syrup,Unani,1004,1/19/2025,1/1/2025,2025-01,2025-01,0,1
100207,C000255,1/19/2025,Immunity Booster,Ayurvedic,1807,1/19/2025,1/1/2025,2025-01,2025-01,0,1
100208,C000256,1/2/2025,Immunity Booster,Ayurvedic,2018,1/2/2025,1/1/2025,2025-01,2025-01,0,1
100209,C000259,1/15/2025,Joint Care Oil,Unani,381,1/15/2025,1/1/2025,2025-01,2025-01,0,1
100210,C000259,1/15/2025,Joint Care Oil,Unani,2309,1/15/2025,1/1/2025,2025-01,2025-01,0,1
100211,C000260,1/18/2025,Liver Syrup,Unani,1134,1/18/2025,1/1/2025,2025-01,2025-01,0,1
100212,C000260,1/23/2025,Immunity Booster,Ayurvedic,378,1/18/2025,1/1/2025,2025-01,2025-01,0,1
100213,C000261,1/23/2025,Joint Care Oil,Unani,973,1/23/2025,1/1/2025,2025-01,2025-01,0,1
100214,C000262,1/11/2025,Diabetes Care,Ayurvedic,403,1/11/2025,1/1/2025,2025-01,2025-01,0,1
100215,C000263,1/11/2025,Immunity Booster,Ayurvedic,687,1/11/2025,1/1/2025,2025-01,2025-01,0,1
100216,C000263,1/26/2025,Joint Care Oil,Unani,1285,1/11/2025,1/1/2025,2025-01,2025-01,0,1
100217,C000264,1/6/2025,Liver Syrup,Unani,1223,1/6/2025,1/1/2025,2025-01,2025-01,0,1
100218,C000264,1/26/2025,Immunity Booster,Ayurvedic,1482,1/6/2025,1/1/2025,2025-01,2025-01,0,1
100219,C000265,1/22/2025,Diabetes Care,Ayurvedic,2118,1/22/2025,1/1/2025,2025-01,2025-01,0,1
100220,C000266,1/16/2025,Ashwagandha,Ayurvedic,1540,1/16/2025,1/1/2025,2025-01,2025-01,0,1
100221,C000268,1/14/2025,Ashwagandha,Ayurvedic,528,1/14/2025,1/1/2025,2025-01,2025-01,0,1
100222,C000272,1/13/2025,Immunity Booster,Ayurvedic,489,1/13/2025,1/1/2025,2025-01,2025-01,0,1
100223,C000274,1/5/2025,Joint Care Oil,Unani,2002,1/5/2025,1/1/2025,2025-01,2025-01,0,1
100224,C000275,1/20/2025,Ashwagandha,Ayurvedic,769,1/20/2025,1/1/2025,2025-01,2025-01,0,1
100225,C000277,1/14/2025,Liver Syrup,Unani,456,1/14/2025,1/1/2025,2025-01,2025-01,0,1
100226,C000277,1/27/2025,Immunity Booster,Ayurvedic,441,1/14/2025,1/1/2025,2025-01,2025-01,0,1
100227,C000278,1/27/2025,Liver Syrup,Unani,923,1/27/2025,1/1/2025,2025-01,2025-01,0,1
100228,C000280,1/17/2025,Ashwagandha,Ayurvedic,2438,1/17/2025,1/1/2025,2025-01,2025-01,0,1
100229,C000281,1/3/2025,Joint Care Oil,Unani,1645,1/3/2025,1/1/2025,2025-01,2025-01,0,1
100230,C000281,1/22/2025,Diabetes Care,Ayurvedic,2141,1/3/2025,1/1/2025,2025-01,2025-01,0,1
100231,C000283,1/11/2025,Immunity Booster,Ayurvedic,935,1/11/2025,1/1/2025,2025-01,2025-01,0,1
100232,C000284,1/27/2025,Immunity Booster,Ayurvedic,2171,1/8/2025,1/1/2025,2025-01,2025-01,0,1
100233,C000284,1/8/2025,Joint Care Oil,Unani,1003,1/8/2025,1/1/2025,2025-01,2025-01,0,1
